1552672865.944060,POS,0,4A1F,17.98,14.68,1.38,86,x8F
1552672866.044005,POS,0,4A1F,17.98,14.68,1.38,0,x90
1552672866.143784,POS,0,9839,0.77,2.47,1.33,0,xFB
1552672866.244096,POS,0,4A1F,18.25,14.27,1.47,68,x92
1552672866.248729,POS,1,9839,0.77,2.47,1.33,0,xFC
1552672866.344070,POS,0,4A1F,18.48,13.92,1.45,84,x93
1552672866.444077,POS,0,4A1F,18.67,13.61,1.49,89,x94
1552672866.448117,POS,1,9839,0.81,2.69,1.10,50,xFE
1552672866.544006,POS,0,4A1F,18.67,13.61,1.49,0,x95
1552672866.548335,POS,1,9839,0.81,2.69,1.10,0,xFF
1552672866.943977,POS,0,4A1F,18.39,12.37,2.47,0,x99
1552672866.948338,POS,1,9839,0.83,2.85,0.99,50,x03
1552672867.043985,POS,0,4A1F,18.39,12.37,2.47,0,x9A
1552672867.047789,POS,1,9839,1.37,2.27,1.16,0,x04
1552672867.144231,POS,0,4A1F,18.79,11.99,2.18,100,x9B
1552672867.147921,POS,1,9839,1.52,2.18,1.38,0,x05
1552672867.243983,POS,0,4A1F,18.79,11.99,2.18,0,x9C
1552672867.248175,POS,1,9839,1.52,2.18,1.38,0,x06
1552672867.644134,POS,0,4A1F,19.05,11.33,2.14,83,xA0
1552672867.648158,POS,1,9839,2.52,2.45,4.44,50,x0A
1552672867.744057,POS,0,4A1F,19.24,10.78,2.14,85,xA1
1552672867.748466,POS,1,9839,2.64,1.97,3.75,0,x0B
1552672867.843981,POS,0,4A1F,19.24,10.78,2.14,0,xA2
1552672867.847790,POS,1,9839,2.36,2.12,3.25,0,x0C
1552672867.943783,POS,0,9839,2.36,2.12,3.25,0,x0D
1552672868.044246,POS,0,4A1F,19.48,10.16,2.02,100,xA4
1552672868.048286,POS,1,9839,2.50,1.74,2.84,0,x0E
1552672868.143958,POS,0,4A1F,19.58,9.61,2.03,82,xA5
1552672868.148449,POS,1,9839,2.06,2.21,2.47,100,x0F
1552672868.243874,POS,0,4A1F,19.58,9.61,2.03,0,xA6
1552672868.247855,POS,1,9839,1.78,2.50,2.06,100,x10
1552672868.343981,POS,0,9839,1.57,2.70,1.59,100,x11
1552672868.444039,POS,0,4A1F,19.76,9.02,1.92,100,xA8
1552672868.449142,POS,1,9839,1.42,2.86,1.37,100,x12
1552672868.543933,POS,0,4A1F,19.79,8.51,1.91,68,xA9
1552672868.547608,POS,1,9839,1.42,2.86,1.37,0,x13
1552672868.643957,POS,0,4A1F,19.78,8.03,1.86,57,xAA
1552672868.744062,POS,0,4A1F,19.93,7.64,1.78,100,xAB
1552672868.844047,POS,0,4A1F,20.02,7.29,1.74,100,xAC
1552672868.848360,POS,1,9839,1.29,2.80,1.53,100,x16
1552672868.943856,POS,0,4A1F,20.02,7.29,1.74,0,xAD
1552672868.947583,POS,1,9839,1.29,2.80,1.53,0,x17
1552672869.244037,POS,0,4A1F,20.10,6.79,1.56,100,xB0
1552672869.248285,POS,1,9839,1.22,2.95,1.40,100,x1A
1552672869.344065,POS,0,4A1F,20.16,6.36,1.45,100,xB1
1552672869.348407,POS,1,9839,1.14,3.06,1.24,100,x1B
1552672869.444031,POS,0,4A1F,20.17,5.96,1.32,100,xB2
1552672869.447929,POS,1,9839,1.14,3.06,1.24,0,x1C
1552672869.544033,POS,0,4A1F,20.15,5.60,1.40,100,xB3
1552672869.643870,POS,0,4A1F,20.15,5.60,1.40,0,xB4
1552672869.743985,POS,0,9839,1.08,3.14,1.08,100,x1F
1552672869.748326,POS,1,CD33,22.85,1.30,0.95,0,xE0
1552672869.843769,POS,0,9839,1.56,2.50,1.19,0,x20
1552672869.847864,POS,1,CD33,23.04,1.46,0.87,0,xE1
1552672869.943959,POS,0,4A1F,19.93,4.58,1.20,76,xB7
1552672869.948224,POS,1,9839,1.54,2.51,1.32,0,x21
1552672869.953070,POS,2,CD33,23.08,1.60,0.83,0,xE2
1552672870.043834,POS,0,4A1F,19.10,5.33,2.96,0,xB8
1552672870.048317,POS,1,9839,1.54,2.49,1.43,0,x22
1552672870.053334,POS,2,CD33,22.97,1.70,0.76,50,xE3
1552672870.143727,POS,0,9839,1.54,2.49,1.43,0,x23
1552672870.147712,POS,1,CD33,22.87,1.85,0.77,0,xE4
1552672870.243943,POS,0,4A1F,19.07,4.44,2.59,55,xBA
1552672870.247887,POS,1,9839,1.38,2.71,1.28,50,x24
1552672870.253019,POS,2,CD33,22.87,1.85,0.77,0,xE5
1552672870.343751,POS,0,9839,1.79,2.14,1.31,0,x25
1552672870.444008,POS,0,4A1F,19.02,3.75,2.23,100,xBC
1552672870.448459,POS,1,9839,2.25,1.50,1.32,0,x26
1552672870.543741,POS,0,9839,2.06,1.75,1.41,0,x27
1552672870.643921,POS,0,9839,1.76,2.14,1.23,100,x28
1552672870.743921,POS,0,9839,1.55,2.45,1.13,100,x29
1552672870.843755,POS,0,9839,1.55,2.45,1.13,0,x2A
1552672870.848317,POS,1,CD33,23.31,1.84,1.07,0,xEB
1552672870.943759,POS,0,9839,1.66,2.31,1.36,0,x2B
1552672870.947638,POS,1,CD33,23.37,2.06,1.20,0,xEC
1552672871.044038,POS,0,4A1F,18.38,2.34,1.22,100,xC2
1552672871.048003,POS,1,9839,1.98,1.87,1.43,0,x2C
1552672871.053079,POS,2,CD33,23.37,2.06,1.20,0,xED
